truck_model,axle_count,chassis_length_m,cargo_type,recommended_model
Volvo VM 270,3,8.5,granel,Caçamba-B15
Ford Cargo 1723,2,6.5,areia,Caçamba-A10
Mercedes Atego 1725,3,8.0,terra,Caçamba-B14
Volvo VM 270,3,8.5,terra,Caçamba-B15
Scania P340,3,9.0,granel,Caçamba-C18
Ford Cargo 1723,2,6.5,granel,Caçamba-A11
Mercedes Atego 1725,2,7.0,areia,Caçamba-A10
Scania P340,4,10.5,mineral,Caçamba-C20
VW Constellation 24.280,3,8.8,brita,Caçamba-B15
Iveco Tector 240E28,3,8.7,entulho,Caçamba-B14
Scania R450,3,9.2,minerio,Caçamba-C18
Mercedes Actros 2651,3,9.0,soja,Caçamba-C19
Volvo FH 540,4,10.2,granel,Caçamba-D25
Ford Cargo 2429,3,8.6,areia,Caçamba-B14
VW Delivery 11.180,2,6.2,entulho de construção,Caçamba-A08
Scania G420,4,10.0,brita,Caçamba-C20
Volvo VM 270,3,8.5,brita,Caçamba-B14
Mercedes Atego 1725,3,8.0,granel,Caçamba-B16
Iveco Tector 240E28,3,8.7,terra,Caçamba-B14
Scania R450,4,10.8,minerio,Caçamba-D22
VW Constellation 24.280,3,8.8,granel,Caçamba-B16
Ford Cargo 1723,2,6.5,terra,Caçamba-A10
Mercedes Actros 2651,3,9.0,mineral,Caçamba-C18
Scania P340,3,9.0,areia,Caçamba-B15
Volvo FH 540,4,10.2,soja,Caçamba-D26
VW Delivery 11.180,2,6.2,areia,Caçamba-A09
Mercedes Atego 1725,2,7.0,entulho,Caçamba-A09
Iveco Tector 170E22,2,7.1,granel,Caçamba-A12
Scania G420,3,9.5,terra,Caçamba-C19
Volvo VM 270,2,7.2,soja,Caçamba-A12
Ford Cargo 2429,3,8.6,entulho de construção,Caçamba-B14
VW Constellation 19.360,3,8.2,brita,Caçamba-B15
Scania R500,4,11.0,minerio de ferro,Caçamba-D22
Mercedes Actros 3351,4,9.8,brita pesada,Caçamba-D21
Volvo FMX 460,4,10.1,mineral,Caçamba-D22
Iveco Tector 260E30,3,9.1,granel,Caçamba-B16
VW Constellation 25.420,3,9.3,soja,Caçamba-C19
Ford Cargo 1933,3,8.4,terra,Caçamba-B14
Scania P280,2,7.5,areia,Caçamba-A11
Mercedes Axor 2544,3,8.9,granel,Caçamba-C18
Volvo VM 330,3,8.8,brita,Caçamba-B15
Scania G480,4,10.3,soja,Caçamba-D25
VW Delivery 9.170,2,5.8,entulho leve,Caçamba-A08
Mercedes Atego 2426,3,8.5,areia,Caçamba-B14
Iveco Daily 70C17,2,5.5,terra,Caçamba-A07
Volvo FH 460,3,9.1,fertilizantes,Caçamba-C19
Scania R540,4,11.2,minerio de ferro,Caçamba-D22
VW Meteor 28.460,3,9.0,granel,Caçamba-C19
Mercedes Actros 2548,3,8.9,soja,Caçamba-C18
Ford Cargo 1119,2,6.0,areia,Caçamba-A09
Volvo FMX 500,4,10.5,brita pesada,Caçamba-D22
Scania P320,3,8.7,entulho,Caçamba-B15
VW Constellation 17.230,2,7.2,granel,Caçamba-A12
Iveco Tector 17-280,2,7.3,terra,Caçamba-A11
Mercedes Atego 3030,4,9.7,cana-de-açúcar,Caçamba-D28
Scania G500,4,10.6,soja,Caçamba-D26
Volvo VM 220,2,7.0,areia,Caçamba-A11
Ford Cargo 2629,3,8.9,brita,Caçamba-B15
VW Constellation 31.390,4,9.5,terra,Caçamba-C20
Mercedes Axor 3344,4,9.6,minerio,Caçamba-D21
Iveco Stralis 440,3,8.8,granel,Caçamba-C18
Volvo FH 500,3,9.3,soja,Caçamba-C19
Scania P360,3,9.1,fertilizantes,Caçamba-B16
VW Delivery 13.180,2,6.8,entulho de construção,Caçamba-A10
Mercedes Atego 1419,2,6.4,terra,Caçamba-A10
Scania R620,4,11.5,cavaco de madeira,Caçamba-D30
Volvo FMX 540,4,10.8,brita pesada,Caçamba-D22
Iveco Tector 9-190,2,5.9,areia,Caçamba-A08
VW Constellation 17.190,2,7.1,granel,Caçamba-A12
Mercedes Actros 4160,4,10.0,minerio de ferro,Caçamba-D22
Scania G440,3,9.8,soja,Caçamba-C20
Volvo VM 270,3,8.6,cana-de-açúcar,Caçamba-B16
Ford Cargo 816,2,5.7,entulho leve,Caçamba-A08
Mercedes Accelo 1016,2,6.1,terra,Caçamba-A09
Scania P310,3,8.6,areia,Caçamba-B15
Iveco Hi-Way 480,3,9.2,granel,Caçamba-C19
VW Constellation 26.280,3,8.9,brita,Caçamba-B15
Volvo FH 540 Globetrotter,4,11.0,soja,Caçamba-D26
Mercedes Axor 2041,3,8.5,fertilizantes,Caçamba-B16
Scania R440,3,9.4,granel,Caçamba-C19
Iveco Tector 24-300,3,8.8,entulho,Caçamba-B15
VW Constellation 15.190,2,6.9,areia,Caçamba-A11
Volvo FMX 420,3,9.0,terra,Caçamba-B16
Mercedes Atego 2730,4,9.4,cana-de-açúcar,Caçamba-D27
Scania G380,3,9.2,brita,Caçamba-B16
Ford Cargo 3133,4,9.3,terra,Caçamba-C20
VW Delivery 10.160,2,6.0,entulho,Caçamba-A09
Mercedes Actros 2646,3,8.8,soja,Caçamba-C18
Iveco Vertis 130V19,2,6.3,areia,Caçamba-A10
Scania P420,4,10.1,mineral,Caçamba-C21
Volvo VM 310,3,8.7,granel,Caçamba-B16
VW Constellation 32.360,4,9.6,brita pesada,Caçamba-C20
Mercedes Axor 2831,4,9.2,entulho de construção,Caçamba-C19
Scania R580,4,11.3,cavaco de madeira,Caçamba-D30
Ford Ka,2,4.0,compras,Nenhuma
Volvo FH 750,4,11.8,minerio de ferro,Caçamba-D24
Iveco Hi-Road 360,3,8.5,granel,Caçamba-B16
